,Weights_data
117,"[0.2820739934786877, 0.1720876011050267, -0.5154414680132313, -0.3143352755299913]"
118,"[0.28489665662466895, 0.1749102642510081, -0.5126188048672495, -0.31151261238401007]"
119,"[0.2771795166055907, 0.1671931242319297, -0.5203359448863281, -0.3192297524030883]"
120,"[0.28737780883366654, 0.17739141646000542, -0.5101376526582522, -0.3090314601750125]"
121,"[0.2828934261537015, 0.17290703378004027, -0.5146220353382176, -0.3135158428549775]"
122,"[0.28406917510593055, 0.17408278273226951, -0.5134462863859884, -0.3123400939027485]"
123,"[0.27615741340149347, 0.16617102102783243, -0.5213580480904256, -0.32025185560718555]"
124,"[0.28631631476711505, 0.1763299223934539, -0.511199146724804, -0.31009295424156397]"
125,"[0.2894545018023138, 0.17946810942865302, -0.5080609596896052, -0.3069547672063652]"
126,"[0.28043689486118245, 0.17045050248752153, -0.5170785666307366, -0.31597237414749657]"
127,"[0.27746481140949325, 0.16747841903583224, -0.5200506500824256, -0.31894445759918577]"
128,"[0.28263457927966257, 0.17264818690600148, -0.5148808822122566, -0.31377468972901645]"
129,"[0.28106798383080955, 0.17108159145714863, -0.5164474776611094, -0.31534128517786947]"
130,"[0.2860350283680653, 0.17604863599440448, -0.5114804331238538, -0.3103742406406137]"
131,"[0.27777486035250265, 0.16778846797884178, -0.5197406011394164, -0.31863440865617637]"
132,"[0.2890408373341125, 0.17905444496045145, -0.5084746241578066, -0.3073684316745665]"
133,"[0.278804839037007, 0.1688184466633461, -0.5187106224549121, -0.31760442997167204]"
134,"[0.2863450795559196, 0.17635868718225858, -0.5111703819359996, -0.31006418945275943]"
135,"[0.27775920424304035, 0.16777281186937953, -0.5197562572488784, -0.3186500647656387]"
136,"[0.2866028565861654, 0.17661646421250474, -0.5109126049057536, -0.3098064124225136]"
137,"[0.28042943316061564, 0.17044304078695482, -0.517086028331303, -0.3159798358480634]"
138,"[0.2828922370607281, 0.1729058446870672, -0.5146232244311914, -0.31351703194795094]"
139,"[0.28202669206107844, 0.17204029968741755, -0.5154887694308407, -0.3143825769476006]"
140,"[0.27808420049025495, 0.16809780811659414, -0.5194312610016643, -0.31832506851842407]"
141,"[0.29212399166564157, 0.18213759929198062, -0.5053914698262776, -0.30428527734303745]"
142,"[0.2784779473205905, 0.16849155494692944, -0.5190375141713285, -0.3179313216880885]"
143,"[0.2843788505006472, 0.17439245812698617, -0.513136610991272, -0.3120304185080318]"
144,"[0.2791484465486196, 0.16916205417495844, -0.5183670149432998, -0.31726082246005943]"
145,"[0.27984574487082364, 0.1698593524971626, -0.5176697166210958, -0.3165635241378554]"
146,"[0.28040418175892906, 0.17041778938526805, -0.5171112797329906, -0.31600508724974996]"
147,"[0.2841933016774514, 0.1742069093037904, -0.513322159814468, -0.31221596733122764]"
148,"[0.28201712127043777, 0.1720307288967767, -0.5154983402214817, -0.31439214773824126]"
149,"[0.2830653985518434, 0.17307900617818248, -0.5144500629400762, -0.31334387045683565]"
